"Unique.IDs","Ranking","Anime.Title","Synonyms","Score","Type","Source","Episode.Count","Status","Aired.from","Aired.to","Season","Release.Year","Broadcast","Producers","Licensors","Studio","Genre","Theme","Demographic","Duration","Rating","Popularity.Ranking","Member.Views","Favorite.Marks","Recommended.Numbers","Total.reviews","Anime.URLs","Picture.URLs"
5114,1,"Fullmetal Alchemist: Brotherhood","Hagane no Renkinjutsushi: Fullmetal Alchemist, Fullmetal Alchemist (2009), FMA, FMAB",9.1,"TV","Manga",64,"Finished Airing","Apr 5, 2009","Jul 4, 2010","Spring","2009","Sundays at 17:00 (JST)","Aniplex, Square Enix, Mainichi Broadcasting System, Studio Moriken","Funimation, Aniplex of America","Bones","Action, Adventure, Drama, Fantasy",NA,"Shounen","24 min. per ep.","R - 17+ (violence & profanity)",3,3231877,220332,895,982,"https://myanimelist.net/anime/5114/Fullmetal_Alchemist__Brotherhood","https://cdn.myanimelist.net/r/50x70/images/anime/1208/94745.jpg?s=7892d01b6c74f1bf945f7a3ff3bb1f6a"
9253,2,"Steins;Gate",NA,9.07,"TV","Visual novel",24,"Finished Airing","Apr 6, 2011","Sep 14, 2011","Spring","2011","Wednesdays at 02:05 (JST)","Frontier Works, Media Factory, Kadokawa Shoten, Movic, AT-X, Kadokawa Pictures Japan, Nitroplus","Funimation","White Fox","Drama, Sci-Fi, Suspense","Psychological, Time Travel",NA,"24 min. per ep.","PG-13 - Teens 13 or older",13,2483814,185434,976,1116,"https://myanimelist.net/anime/9253/Steins_Gate","https://cdn.myanimelist.net/r/50x70/images/anime/1935/127974.jpg?s=cd8506e6d26bad48a78aa985477a55ca"
28977,3,"Gintama°","Gintama' (2015)",9.06,"TV","Manga",51,"Finished Airing","Apr 8, 2015","Mar 30, 2016","Spring","2015","Wednesdays at 18:00 (JST)","TV Tokyo, Aniplex, Dentsu","Funimation, Crunchyroll","Bandai Namco Pictures","Action, Comedy, Sci-Fi","Gag Humor, Historical, Parody, Samurai","Shounen","24 min. per ep.","PG-13 - Teens 13 or older",335,608168,16246,77,81,"https://myanimelist.net/anime/28977/Gintama°","https://cdn.myanimelist.net/r/50x70/images/anime/3/72078.jpg?s=e9537ac90c08758594c787ede117f209"
41467,4,"Bleach: Sennen Kessen-hen","Bleach: Thousand-Year Blood War Arc",9.05,"TV","Manga",13,"Finished Airing","Oct 11, 2022","Dec 27, 2022","Fall","2022","Tuesdays at 00:00 (JST)","TV Tokyo, Aniplex, Dentsu, Shueisha","VIZ Media","Pierrot","Action, Adventure, Fantasy",NA,"Shounen","24 min. per ep.","R - 17+ (violence & profanity)",441,483138,19317,97,123,"https://myanimelist.net/anime/41467/Bleach__Sennen_Kessen-hen","https://cdn.myanimelist.net/r/50x70/images/anime/1908/135431.jpg?s=90ea032d3ed39b3093ec6b6dc6be844f"
38524,5,"Shingeki no Kyojin Season 3 Part 2",NA,9.05,"TV","Manga",10,"Finished Airing","Apr 29, 2019","Jul 1, 2019","Spring","2019","Mondays at 00:10 (JST)","Production I.G, Dentsu, Mainichi Broadcasting System, Pony Canyon, Kodansha, Techno Sound, Pony Canyon Enterprises","Funimation","Wit Studio","Action, Drama","Gore, Military, Survival","Shounen","23 min. per ep.","R - 17+ (violence & profanity)",22,2160201,56195,191,211,"https://myanimelist.net/anime/38524/Shingeki_no_Kyojin_Season_3_Part_2","https://cdn.myanimelist.net/r/50x70/images/anime/1517/100633.jpg?s=4540a01b5883647ade494cd28392f100"
9969,6,"Gintama'","Gintama (2011)",9.04,"TV","Manga",51,"Finished Airing","Apr 4, 2011","Mar 26, 2012","Spring","2011","Mondays at 18:00 (JST)","TV Tokyo, Aniplex, Dentsu, Trinity Sound, Miracle Robo, Studio Jack, Shueisha",NA,"Sunrise","Action, Comedy, Sci-Fi","Gag Humor, Historical, Parody, Samurai","Shounen","24 min. per ep.","PG-13 - Teens 13 or older",391,537023,7921,39,41,"https://myanimelist.net/anime/9969/Gintama","https://cdn.myanimelist.net/r/50x70/images/anime/4/50361.jpg?s=b3a061db8c3d42a055d58f9df1f3dac7"
39486,7,"Gintama: The Final",NA,9.04,"Movie","Manga",1,"Finished Airing","Jan 8, 2021",NA,NA,NA,NA,"TV Tokyo, Warner Bros. Japan","Eleven Arts","Bandai Namco Pictures","Action, Comedy, Drama, Sci-Fi","Gag Humor, Historical, Parody, Samurai","Shounen","1 hr. 44 min.","PG-13 - Teens 13 or older",1558,138787,4141,70,75,"https://myanimelist.net/anime/39486/Gintama__The_Final","https://cdn.myanimelist.net/r/50x70/images/anime/1245/116760.jpg?s=8f52d6ff46ef1233eb9fcd542434221c"
11061,8,"Hunter x Hunter (2011)","HxH (2011)",9.04,"TV","Manga",148,"Finished Airing","Oct 2, 2011","Sep 24, 2014","Fall","2011","Sundays at 10:55 (JST)","VAP, Nippon Television Network, Shueisha","VIZ Media","Madhouse","Action, Adventure, Fantasy",NA,"Shounen","23 min. per ep.","PG-13 - Teens 13 or older",10,2715373,203710,756,865,"https://myanimelist.net/anime/11061/Hunter_x_Hunter_2011","https://cdn.myanimelist.net/r/50x70/images/anime/1337/99013.jpg?s=1838e905a0aa3542a009fbcf78000701"
43608,9,"Kaguya-sama wa Kokurasetai: Ultra Romantic","Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen 3rd Season, Kaguya-sama: Love is War Season 3rd Season",9.04,"TV","Manga",13,"Finished Airing","Apr 9, 2022","Jun 25, 2022","Spring","2022","Saturdays at 00:00 (JST)","Aniplex, Mainichi Broadcasting System, Magic Capsule, Shueisha, JR East Marketing & Communications","Aniplex of America","A-1 Pictures","Comedy, Romance",NA,"Seinen","23 min. per ep.","PG-13 - Teens 13 or older",188,860208,30041,204,230,"https://myanimelist.net/anime/43608/Kaguya-sama_wa_Kokurasetai__Ultra_Romantic","https://cdn.myanimelist.net/r/50x70/images/anime/1160/122627.jpg?s=9b41450e9598d10c97fb4eeb7cca3737"
52991,10,"Sousou no Frieren","Frieren at the Funeral",9.04,"TV","Manga",NA,"Currently Airing","Sep 29, 2023","?","Fall","2023","Fridays at 23:00 (JST)","TOHO animation, Shogakukan",NA,"Madhouse","Adventure, Drama, Fantasy",NA,"Shounen","25 min.","PG-13 - Teens 13 or older",1895,106115,748,0,0,"https://myanimelist.net/anime/52991/Sousou_no_Frieren","https://cdn.myanimelist.net/r/50x70/images/anime/1015/138006.jpg?s=09c2f2dec5891d8e8fbb9fa3b23c75b4"
