Rank,Score,ShowTitle,Catagory,Airtime,Members,Eps,DetailURL
1,9.1,Fullmetal Alchemist: Brotherhood,TV,Apr 2009 - Jul 2010,3230543,64,https://myanimelist.net/anime/5114/Fullmetal_Alchemist__Brotherhood
2,9.07,Steins;Gate,TV,Apr 2011 - Sep 2011,2482821,24,https://myanimelist.net/anime/9253/Steins_Gate
3,9.06,Gintama°,TV,Apr 2015 - Mar 2016,607814,51,https://myanimelist.net/anime/28977/Gintama°
4,9.05,Bleach: Sennen Kessen-hen,TV,Oct 2022 - Dec 2022,482220,13,https://myanimelist.net/anime/41467/Bleach__Sennen_Kessen-hen
5,9.05,Shingeki no Kyojin Season 3 Part 2,TV,Apr 2019 - Jul 2019,2158911,10,https://myanimelist.net/anime/38524/Shingeki_no_Kyojin_Season_3_Part_2
6,9.04,Gintama',TV,Apr 2011 - Mar 2012,536703,51,https://myanimelist.net/anime/9969/Gintama
7,9.04,Gintama: The Final,Movie,Jan 2021 - Jan 2021,138600,1,https://myanimelist.net/anime/39486/Gintama__The_Final
8,9.04,Hunter x Hunter (2011),TV,Oct 2011 - Sep 2014,2713896,148,https://myanimelist.net/anime/11061/Hunter_x_Hunter_2011
9,9.04,Kaguya-sama wa Kokurasetai: Ultra Romantic,TV,Apr 2022 - Jun 2022,859302,13,https://myanimelist.net/anime/43608/Kaguya-sama_wa_Kokurasetai__Ultra_Romantic
10,9.03,Gintama': Enchousen,TV,Oct 2012 - Mar 2013,314658,13,https://myanimelist.net/anime/15417/Gintama__Enchousen
11,9.03,Shingeki no Kyojin: The Final Season - Kanketsu-hen,Special,Mar 2023 - Nov 2023,481849,2,https://myanimelist.net/anime/51535/Shingeki_no_Kyojin__The_Final_Season_-_Kanketsu-hen
12,9.02,Ginga Eiyuu Densetsu,OVA,Jan 1988 - Mar 1997,310580,110,https://myanimelist.net/anime/820/Ginga_Eiyuu_Densetsu
13,8.99,Fruits Basket: The Final,TV,Apr 2021 - Jun 2021,447501,13,https://myanimelist.net/anime/42938/Fruits_Basket__The_Final
