"","name","recommended","total.reviews"
"1","Fullmetal Alchemist: Brotherhood",895,982
"2","Steins;Gate",895,982
"3","Gintama°",976,1116
"4","Bleach: Sennen Kessen-hen",976,1116
"5","Shingeki no Kyojin Season 3 Part 2",77,81
"6","Gintama'",77,81
"7","Gintama: The Final",97,123
"8","Hunter x Hunter (2011)",97,123
"9","Kaguya-sama wa Kokurasetai: Ultra Romantic",191,211
"10","Gintama': Enchousen",191,211
"11","Shingeki no Kyojin: The Final Season - Kanketsu-hen",38,40
"12","Ginga Eiyuu Densetsu",38,40
"13","Fruits Basket: The Final",70,75
"14","Gintama.",70,75
"15","Bleach: Sennen Kessen-hen - Ketsubetsu-tan",756,865
"16","Gintama",756,865
"17","Koe no Katachi",204,230
"18","3-gatsu no Lion 2nd Season",204,230
"19","Clannad: After Story",24,24
"20","Code Geass: Hangyaku no Lelouch R2",24,24
"21","Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare",65,88
"22","Violet Evergarden Movie",65,88
"23","Owarimonogatari 2nd Season",159,182
"24","Gintama.: Shirogane no Tamashii-hen - Kouhan-sen",159,182
"25","Monster",135,160
"26","Kimi no Na wa.",135,160
"27","The First Slam Dunk",23,27
"28","Kaguya-sama wa Kokurasetai: First Kiss wa Owaranai",23,27
"29","Bocchi the Rock!",6,10
"30","Jujutsu Kaisen 2nd Season",6,10
"31","Vinland Saga Season 2",261,279
"32","Kingdom 3rd Season",261,279
"33","Gintama.: Shirogane no Tamashii-hen",594,701
"34","Mob Psycho 100 II",594,701
"35","Kizumonogatari III: Reiketsu-hen",113,126
"36","Shingeki no Kyojin: The Final Season",113,126
"37","Kimetsu no Yaiba: Yuukaku-hen",619,679
"38","Sen to Chihiro no Kamikakushi",619,679
"39","Haikyuu!! Karasuno Koukou vs. Shiratorizawa Gakuen Koukou",339,396
"40","""Oshi no Ko""",339,396
"41","Monogatari Series: Second Season",40,43
"42","Shingeki no Kyojin: The Final Season Part 2",40,43
"43","Hajime no Ippo",167,211
"44","Cowboy Bebop",167,211
"45","Vinland Saga",52,55
"46","Kingdom 4th Season",52,55
"47","Mushishi Zoku Shou 2nd Season",13,19
"48","Shouwa Genroku Rakugo Shinjuu: Sukeroku Futatabi-hen",13,19
"49","Mob Psycho 100 III",371,439
"50","One Piece",371,439
